t_s,wall_time_s,debug_age_s,cmd_age_s,odom_age_s,control_error_age_s,mode,mode_code,raw_valid,cmd_published,lane_state,confidence,fps_est,epsilon_x_mm,e_x_f_mm,e_x_used_mm,theta_raw_rad,theta_f_rad,theta_used_rad,de_x_f,dtheta_f,k_lat_used,k_theta_used,kd_lat,kd_theta,p_lat,p_theta,d_lat,d_theta,v_des,v_ref,v_cmd_internal,cmd_v_topic,odom_v,omega_raw,omega_des,omega_ref,omega_cmd_internal,cmd_omega_topic,odom_omega,omega_limit,curve_confirmed,curve_evidence,center_zone,near_zone,large_error,slow_factor,kappa_m,L_d_m,v_left_est,v_right_est,delta_v_cmd,odom_x,odom_y,odom_yaw,linear_tracking_error,angular_tracking_error
4.656137466430664,1784883161.3944325,0.7881615161895752,0.4216117858886719,4.4345855712890625e-05,nan,curve_pd,1,1,1,FOLLOW_MAIN,1.0,10.07272826926129,-21.400000000000002,22.07464977247527,22.07464977247527,-0.153,0.15916888179418046,0.15916888179418046,-0.045106426870167464,-0.25584538199600804,0.58,0.72,0.01,0.05,-0.012803296868035656,-0.11460159489180992,0.00045106426870167467,0.012792269099800403,0.08339548233390741,0.03606202951637938,0.03606202951637938,0.061572788799763654,0.0253749992698431,-0.1141615583913435,-0.1141615583913435,-0.1247685707502806,-0.1247685707502806,0.13450123804863137,-0.09456521272659302,0.38,1,1.0,0,0,0,0.8778471824621833,-0.7796460723904887,nan,0.04448390804202332,0.02764015099073544,-0.016843757051287878,10.384256362915039,-3.523165225982666,-1.4479571561824538,0.03619778952992055,0.2290664507752244
5.029889106750488,1784883161.7681847,1.1619138717651367,0.7953639030456543,0.3737974166870117,6.413459777832031e-05,curve_pd,1,1,1,FOLLOW_MAIN,1.0,10.07272826926129,-21.400000000000002,22.07464977247527,22.07464977247527,-0.153,0.15916888179418046,0.15916888179418046,-0.045106426870167464,-0.25584538199600804,0.58,0.72,0.01,0.05,-0.012803296868035656,-0.11460159489180992,0.00045106426870167467,0.012792269099800403,0.08339548233390741,0.03606202951637938,0.03606202951637938,0.061572788799763654,0.0253749992698431,-0.1141615583913435,-0.1141615583913435,-0.1247685707502806,-0.1247685707502806,0.13450123804863137,-0.09456521272659302,0.38,1,1.0,0,0,0,0.8778471824621833,-0.7796460723904887,nan,0.04448390804202332,0.02764015099073544,-0.016843757051287878,10.384256362915039,-3.523165225982666,-1.4479571561824538,0.03619778952992055,0.2290664507752244
5.347076177597046,1784883162.085371,6.961822509765625e-05,1.1125495433807373,0.6909825801849365,0.317249059677124,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.487374129363269,-135.6,-135.52383382026383,-135.52383382026383,-0.231,-0.23315749709502767,-0.23315749709502767,-0.022713538342870338,0.12513595354118975,0.58,0.72,0.01,0.05,0.07860382361575302,0.16787339790841993,0.0002271353834287034,-0.006256797677059488,0.07590747776196001,0.07590747776196001,0.07590747776196001,0.061572788799763654,0.0253749992698431,0.24044755923054215,0.24044755923054215,0.24044755923054215,0.24044755923054215,0.13450123804863137,-0.09456521272659302,0.38,1,2.0,0,0,0,0.7990260817048421,-0.03595382107029853,nan,0.059677267513898416,0.0921376880100216,0.03246042049612319,10.384256362915039,-3.523165225982666,-1.4479571561824538,0.03619778952992055,0.2290664507752244
5.699617624282837,1784883162.437913,0.3526113033294678,0.34915685653686523,6.175041198730469e-05,0.3422236442565918,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.487374129363269,-135.6,-135.52383382026383,-135.52383382026383,-0.231,-0.23315749709502767,-0.23315749709502767,-0.022713538342870338,0.12513595354118975,0.58,0.72,0.01,0.05,0.07860382361575302,0.16787339790841993,0.0002271353834287034,-0.006256797677059488,0.07590747776196001,0.07590747776196001,0.07590747776196001,0.07596556490662733,0.10875000059604645,0.24044755923054215,0.24044755923054215,0.24044755923054215,0.24044755923054215,0.24170215250079255,-1.6196914032207133e-08,0.38,1,2.0,0,0,0,0.7990260817048421,-0.03595382107029853,nan,0.059677267513898416,0.0921376880100216,0.03246042049612319,10.389927864074707,-3.566516637802124,-1.4415580957116425,-0.03278443568941912,0.24170216869770658
6.015599727630615,1784883162.7538948,8.440017700195312e-05,0.6651391983032227,0.31604456901550293,0.6582067012786865,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.7698354757076835,-135.6,-135.5752428622103,-135.5752428622103,-0.231,-0.2317012751991427,-0.2317012751991427,-0.01357717178143763,0.07784356440973086,0.58,0.72,0.01,0.05,0.07863364086008198,0.16682491814338274,0.0001357717178143763,-0.0038921782204865436,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.10875000059604645,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,-1.6196914032207133e-08,0.38,1,2.0,0,0,0,0.7996375253329192,-0.03595359893674142,nan,0.05965066961282383,0.09228046020043082,0.03262979058760699,10.389927864074707,-3.566516637802124,-1.4415580957116425,-0.03278443568941912,0.24170216869770658
6.323004961013794,1784883163.0613,0.30748939514160156,0.28989505767822266,3.886222839355469e-05,0.2933356761932373,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.7698354757076835,-135.6,-135.5752428622103,-135.5752428622103,-0.231,-0.2317012751991427,-0.2317012751991427,-0.01357717178143763,0.07784356440973086,0.58,0.72,0.01,0.05,0.07863364086008198,0.16682491814338274,0.0001357717178143763,-0.0038921782204865436,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.06162499636411667,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.031521737575531006,0.38,1,2.0,0,0,0,0.7996375253329192,-0.03595359893674142,nan,0.05965066961282383,0.09228046020043082,0.03262979058760699,10.392759323120117,-3.5877230167388916,-1.4314710650874578,0.01434056854251066,0.21018041492526154
6.701328754425049,1784883163.4396238,0.6858136653900146,6.890296936035156e-05,0.37836337089538574,0.6716599464416504,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.7698354757076835,-135.6,-135.5752428622103,-135.5752428622103,-0.231,-0.2317012751991427,-0.2317012751991427,-0.01357717178143763,0.07784356440973086,0.58,0.72,0.01,0.05,0.07863364086008198,0.16682491814338274,0.0001357717178143763,-0.0038921782204865436,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.07596556490662733,0.06162499636411667,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.24170215250079255,0.031521737575531006,0.38,1,2.0,0,0,0,0.7996375253329192,-0.03595359893674142,nan,0.05965066961282383,0.09228046020043082,0.03262979058760699,10.392759323120117,-3.5877230167388916,-1.4314710650874578,0.01434056854251066,0.21018041492526154
7.033769607543945,1784883163.7720644,8.630752563476562e-05,0.33250927925109863,0.7108035087585449,1.0041003227233887,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.392339416275475,-135.6,-135.5999460778244,-135.5999460778244,-0.231,-0.23100152740937854,-0.23100152740937854,-0.0007873695999197685,0.004742414175718792,0.58,0.72,0.01,0.05,0.07864796872513814,0.16632109973475254,7.873695999197685e-06,-0.00023712070878593961,0.0759934926522394,0.0336763349758537,0.0336763349758537,0.07596556490662733,0.06162499636411667,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.24170215250079255,0.031521737575531006,0.38,1,2.0,0,0,0,0.7999315016025199,-0.035953589922361265,nan,0.01715639702817418,0.05019627292353322,0.03303987589535905,10.392759323120117,-3.5877230167388916,-1.4314710650874578,0.01434056854251066,0.21018041492526154
7.360973834991455,1784883164.099269,0.32729101181030273,3.6716461181640625e-05,0.32039809226989746,0.3170804977416992,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.392339416275475,-135.6,-135.5999460778244,-135.5999460778244,-0.231,-0.23100152740937854,-0.23100152740937854,-0.0007873695999197685,0.004742414175718792,0.58,0.72,0.01,0.05,0.07864796872513814,0.16632109973475254,7.873695999197685e-06,-0.00023712070878593961,0.0759934926522394,0.0336763349758537,0.0336763349758537,0.03681600425577084,0.07249999791383743,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.0630434900522232,0.38,1,2.0,0,0,0,0.7999315016025199,-0.035953589922361265,nan,0.01715639702817418,0.05019627292353322,0.03303987589535905,10.39525032043457,-3.604694366455078,-1.4112341148535772,-0.03568399365806659,0.18169633139488076
7.689988374710083,1784883164.4282835,0.6563055515289307,0.3106117248535156,4.410743713378906e-05,0.3222081661224365,curve_pd,1,1,1,FOLLOW_MAIN,1.0,5.392339416275475,-135.6,-135.5999460778244,-135.5999460778244,-0.231,-0.23100152740937854,-0.23100152740937854,-0.0007873695999197685,0.004742414175718792,0.58,0.72,0.01,0.05,0.07864796872513814,0.16632109973475254,7.873695999197685e-06,-0.00023712070878593961,0.0759934926522394,0.0336763349758537,0.0336763349758537,0.01975921423989348,0.02174999937415123,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.24473982144710396,0.2449287360556924,0.18913042545318604,0.38,1,2.0,0,0,0,0.7999315016025199,-0.035953589922361265,nan,0.01715639702817418,0.05019627292353322,0.03303987589535905,10.412808418273926,-3.681675672531128,-1.1925994598727203,-0.001990785134257749,0.05579831060250637
