time_wall_s,t_s,active_controller,controller_node,controller_version,controller_mode,outer_mode,mix_mode,curve_zone,avoidance_mode,lane_state,intent_hint,trajectory_hint,planner_status_hint,raw_valid,cmd_published,epsilon_x_mm,e_lat_raw_mm,e_lat_filtered_mm,e_lat_used_mm,theta_raw_rad,theta_filtered_rad,theta_used_rad,de_lat_mps,de_heading_rps,p_lat,d_lat,p_heading,d_heading,outer_kp_lat,outer_kd_lat,outer_kp_heading,outer_kd_heading,curvature_from_error,k_pp_used,k_lat_used,k_theta_used,slow_factor,outer_gain_multiplier,curve_severity,omega_ff,omega_fb,curve_steer_gain,v_target,v_ref,v_cmd_internal,cmd_v,odom_v,omega_raw,omega_target,omega_limit,omega_ref,omega_cmd_internal,cmd_omega,odom_omega,linear_tracking_error,angular_tracking_error,v_left_ref,v_left_measured,v_left_cmd,v_right_ref,v_right_measured,v_right_cmd,left_wheel_error,right_wheel_error,d_left_wheel_error,d_right_wheel_error,left_pd_correction,right_pd_correction,fps,confidence,lookahead_m,curvature,speed_factor,curve_confirmed,center_zone,near_zone,large_error,lane_change,jump_hold,soft_replan_active,avoidance_active,avoidance_reverse,avoidance_offset_m,avoidance_target_offset_m,front_min_m,lidar_ratio,lidar_stop,emergency_stop,cmd_vel_conflict,odom_x,odom_y,odom_yaw,control_error_age_s,state_age_s,ref_age_s,cmd_vel_age_s,odom_age_local_s,scan_age_s,controller_error_age_s,controller_odom_age_s,e_lat_raw_m,e_lat_filtered_m,e_lat_used_m,curve_count,curve_sign,omega_dynamic_limit,brake_scale,odom_v_filtered,odom_omega_filtered,lidar_mode,controller_mode_code,outer_mode_code,mix_mode_code,lidar_mode_code,curve_zone_code,avoidance_mode_code,intent_hint_code,trajectory_hint_code,planner_status_hint_code,state__node,state__version,state__mode,state__outer_mode,state__mix_mode,state__enabled,state__cmd_published,state__cmd_vel_conflict,state__cmd_vel_publishers,state__emergency_stop,state__intent_hint,state__trajectory_hint,state__planner_status_hint,state__lane_state,state__raw_valid,state__raw_valid_reason,state__confidence,state__fps_est,state__error_age_s,state__odom_age_s,state__epsilon_x_mm,state__theta_rad,state__kappa_m,state__lookahead_m,state__e_f_m,state__e_f_mm,state__theta_f_rad,state__e_used_m,state__e_used_mm,state__theta_used_rad,state__de_f,state__dtheta_f,state__outer_kp_lat,state__outer_kd_lat,state__outer_kp_heading,state__outer_kd_heading,state__p_lat,state__d_lat,state__p_heading,state__d_heading,state__omega_raw,state__omega_des,state__omega_target,state__v_des,state__v_target,state__curve_severity,state__curve_zone,state__curve_steer_gain,state__outer_gain_multiplier,state__omega_ff,state__omega_fb,state__omega_limit,state__speed_factor,state__v_ref,state__omega_ref,state__v_left_ref,state__v_right_ref,state__v_left_des,state__v_right_des,state__v_left_measured,state__v_right_measured,state__v_left_odom,state__v_right_odom,state__left_wheel_error,state__right_wheel_error,state__d_left_wheel_error,state__d_right_wheel_error,state__left_pd_correction,state__right_pd_correction,state__v_left_cmd,state__v_right_cmd,state__v_cmd,state__omega_cmd,state__odom_v,state__odom_omega,state__odom_v_filtered,state__odom_omega_filtered,state__odom_x,state__odom_y,state__front_min_m,state__lidar_mode,state__lidar_ratio,state__lidar_stop,state__time_monotonic
1785586565.55606,0.6784439086914062,,,,,,,,,TURNING,,,,0,0,-2.9000000000000004,-2.9000000000000004,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8099479595743636,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0.00102996826171875,inf,inf,inf,inf,inf,nan,nan,-0.0029000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586566.8475113,1.9698951244354248,,,,,,,,,TURNING,,,,0,0,-2.9000000000000004,-2.9000000000000004,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8099479595743636,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,1.292480707168579,inf,inf,inf,0.00010585784912109375,inf,nan,nan,-0.0029000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586567.3474507,2.469834566116333,,,,,,,,,TURNING,,,,0,0,-2.9000000000000004,-2.9000000000000004,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.8099479595743636,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9639999866485596,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,1.7924201488494873,inf,inf,inf,0.5000450611114502,0.00012254714965820312,nan,nan,-0.0029000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586567.832351,2.9547348022460938,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.562957818040704,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9639999866485596,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,7.200241088867188e-05,inf,inf,inf,0.9849441051483154,0.48502135276794434,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586568.30262,3.425004005432129,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.562957818040704,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9639999866485596,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,0.47034144401550293,inf,inf,inf,0.00011873245239257812,0.955291748046875,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586568.7626452,3.8850290775299072,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.562957818040704,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9700000286102295,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,0.9303674697875977,inf,inf,inf,0.4601454734802246,0.00010371208190917969,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586569.2123706,4.334754467010498,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.9027324368337616,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9700000286102295,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,9.465217590332031e-05,inf,inf,inf,0.909869909286499,0.4498291015625,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586569.6448882,4.767271995544434,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.9027324368337616,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9700000286102295,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,0.43261122703552246,inf,inf,inf,9.989738464355469e-05,0.8823444843292236,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586570.0592382,5.18162202835083,,,,,,,,,TURNING,,,,0,0,-2.8000000000000003,-2.8000000000000003,nan,nan,-0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.9027324368337616,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9730000495910645,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,0.846961259841919,inf,inf,inf,0.41445064544677734,9.703636169433594e-05,nan,nan,-0.0028000000000000004,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785586570.4832919,5.60567569732666,,,,,,,,,TURNING,,,,0,0,-2.9000000000000004,-2.9000000000000004,nan,nan,-0.021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.6484041444726018,nan,0,0,0,0,0,0,0,0,0,nan,nan,2.9730000495910645,nan,0,0,0,-24.56489372253418,-49.92472457885742,-1.5211588185995362,9.512901306152344e-05,inf,inf,inf,0.8385047912597656,0.4241514205932617,nan,nan,-0.0029000000000000002,nan,nan,nan,nan,nan,nan,nan,nan,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
