time_wall_s,t_s,epsilon_x_mm,e_lat_raw_m,e_lat_raw_mm,e_lat_filtered_m,e_lat_filtered_mm,e_lat_used_m,e_lat_used_mm,theta_raw_rad,theta_filtered_rad,theta_used_rad,de_lat_mps,de_heading_rps,p_lat,d_lat,p_heading,d_heading,outer_kp_lat,outer_kd_lat,outer_kp_heading,outer_kd_heading,outer_gain_multiplier,v_target,v_ref,v_cmd_internal,cmd_v,odom_v,omega_target,omega_ref,omega_cmd_internal,cmd_omega,odom_omega,v_left_ref,v_left_measured,v_left_cmd,v_right_ref,v_right_measured,v_right_cmd,left_wheel_error,right_wheel_error,d_left_wheel_error,d_right_wheel_error,left_pd_correction,right_pd_correction,fps,confidence,lookahead_m,curvature,speed_factor,front_min_m,lidar_ratio,lidar_stop,raw_valid,cmd_published,emergency_stop,odom_x,odom_y,odom_yaw,lane_state,controller_mode,outer_mode,mix_mode,lidar_mode,intent_hint,trajectory_hint,planner_status_hint,controller_mode_code,outer_mode_code,mix_mode_code,lidar_mode_code,intent_hint_code,trajectory_hint_code,planner_status_hint_code,control_error_age_s,cascade_state_age_s,cascade_ref_age_s,cmd_vel_age_s,odom_age_local_s,scan_age_s,controller_error_age_s,controller_odom_age_s
1784807443.7003613,3.6040093898773193,109.60000000000001,0.1096,109.60000000000001,nan,nan,nan,nan,0.664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,FOLLOW_MAIN,,,,,,,,0,0,0,0,0,0,0,9.918212890625e-05,nan,nan,nan,nan,nan,nan,nan
1784807446.1917732,6.095421314239502,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,nan,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,nan,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,nan,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,2.491508960723877,0.0001385211944580078,nan,nan,nan,nan,0.044957119999708084,0.008911175000321236
1784807446.6102023,6.513850450515747,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,nan,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,nan,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,nan,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,2.9099624156951904,0.4185922145843506,0.00014591217041015625,nan,nan,nan,0.044957119999708084,0.008911175000321236
1784807446.9838789,6.887526988983154,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,0.3813557364868782,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,-0.07509754932889826,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,nan,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,3.2835922241210938,0.7922215461730957,0.37377405166625977,8.177757263183594e-05,nan,nan,0.044957119999708084,0.008911175000321236
1784807447.3900366,7.293684720993042,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,0.3813557364868782,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,-0.07509754932889826,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,3.6897730827331543,1.1984026432037354,0.7799556255340576,0.4062635898590088,0.00014519691467285156,nan,0.044957119999708084,0.008911175000321236
1784807447.7615185,7.665166616439819,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,0.3813557364868782,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,-0.07509754932889826,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,4.0612359046936035,1.5698652267456055,1.1514179706573486,0.7777259349822998,0.37160706520080566,0.000118255615234375,0.044957119999708084,0.008911175000321236
1784807448.1482747,8.051922798156738,-10.8,-0.0108,-10.8,0.042210212561275245,42.21021256127525,0.042210212561275245,42.21021256127525,-0.077,0.32663059038931597,0.32663059038931597,-0.09963512105572009,-0.09431094321276517,0.042210212561275245,-0.0017934321790029615,0.3592936494282476,-0.001131731318553182,1.0,0.018,1.1,0.012,nan,0.2102252723336985,0.2102252723336985,0.19810934231161154,0.3813557364868782,0.29725000262260437,-0.39857869849196664,-0.3312268515126318,-0.29749617621662694,-0.07509754932889826,0.0,0.23258308481080114,0.3324303647463274,0.22259835681724852,0.18786745985659586,0.330338780362809,0.17362032780597456,-0.09984727993552628,-0.14247132050621314,0.1983488898161115,0.123443823617057,-0.009984727993552628,-0.014247132050621315,nan,1.0,0.0,2.214,0.420450544667397,2.7200000286102295,1.0,0,1,1,0,3.887540817260742,-10.251426696777344,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,HOLD,1,1,1,1,1,1,1,0.00012922286987304688,1.9566469192504883,1.5382003784179688,1.16450834274292,0.758389949798584,0.3869011402130127,0.044957119999708084,0.008911175000321236
1784807448.5319135,8.435561656951904,70.8,0.0708,70.8,0.06965888493215798,69.65888493215797,0.06965888493215798,69.65888493215797,0.468,0.4618578835903939,0.4618578835903939,0.0296748973207165,0.18011119428289388,0.06965888493215798,0.000534148151772897,0.5080436719494333,0.0021613343313947268,1.0,0.018,1.1,0.012,nan,0.20493905279371744,0.20493905279371744,0.2034771088875162,0.3813557364868782,0.203000009059906,-0.580398039364759,-0.5659541232204509,-0.4818422921975848,-0.07509754932889826,-0.37826085090637207,0.24314095611109787,0.23929363607961593,0.24314095611109787,0.166737149476337,0.19597602760036206,0.1638132616639345,0.0,-0.029238878124025064,0.11077606609700918,0.17128876815062447,0.0,-0.0029238878124025064,nan,1.0,0.0,-3.049,0.40987810558743487,2.6649999618530273,1.0,0,1,1,0,3.2220864295959473,-10.064627647399902,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,UNKNOWN,1,1,1,1,1,1,2,0.38373470306396484,8.749961853027344e-05,1.9218051433563232,1.5481128692626953,1.1419939994812012,0.7705049514770508,0.005336071999408887,0.049877839000146196
1784807448.9132326,8.816880702972412,70.8,0.0708,70.8,0.06965888493215798,69.65888493215797,0.06965888493215798,69.65888493215797,0.468,0.4618578835903939,0.4618578835903939,0.0296748973207165,0.18011119428289388,0.06965888493215798,0.000534148151772897,0.5080436719494333,0.0021613343313947268,1.0,0.018,1.1,0.012,nan,0.20493905279371744,0.20493905279371744,0.2034771088875162,0.3813557364868782,0.203000009059906,-0.580398039364759,-0.5659541232204509,-0.4818422921975848,-0.07509754932889826,-0.37826085090637207,0.24314095611109787,0.23929363607961593,0.24314095611109787,0.166737149476337,0.19597602760036206,0.1638132616639345,0.0,-0.029238878124025064,0.11077606609700918,0.17128876815062447,0.0,-0.0029238878124025064,nan,1.0,0.0,-3.049,0.40987810558743487,2.6649999618530273,1.0,0,1,1,0,3.2220864295959473,-10.064627647399902,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,UNKNOWN,1,1,1,1,1,1,2,0.765061616897583,0.38141417503356934,8.678436279296875e-05,1.9294390678405762,1.5233206748962402,1.1518313884735107,0.005336071999408887,0.049877839000146196
1784807449.2864735,9.1901216506958,70.8,0.0708,70.8,0.06965888493215798,69.65888493215797,0.06965888493215798,69.65888493215797,0.468,0.4618578835903939,0.4618578835903939,0.0296748973207165,0.18011119428289388,0.06965888493215798,0.000534148151772897,0.5080436719494333,0.0021613343313947268,1.0,0.018,1.1,0.012,nan,0.20493905279371744,0.20493905279371744,0.2034771088875162,0.21324611141994154,0.203000009059906,-0.580398039364759,-0.5659541232204509,-0.4818422921975848,-0.3288561949373426,-0.37826085090637207,0.24314095611109787,0.23929363607961593,0.24314095611109787,0.166737149476337,0.19597602760036206,0.1638132616639345,0.0,-0.029238878124025064,0.11077606609700918,0.17128876815062447,0.0,-0.0029238878124025064,nan,1.0,0.0,-3.049,0.40987810558743487,2.6649999618530273,1.0,0,1,1,0,3.2220864295959473,-10.064627647399902,2.8673751202635858,FOLLOW_MAIN,cascade_pd_tracking,follow_main,inner_wheel_pd,lidar_disabled,FOLLOW_MAIN,COMMITTED,UNKNOWN,1,1,1,1,1,1,2,1.1383047103881836,0.754657506942749,0.37333011627197266,0.00010395050048828125,1.896564245223999,1.5250751972198486,0.005336071999408887,0.049877839000146196
